agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_dev_coef,pw_i_P_dev_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_dev_coef,pw_i_r_dev_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_dev_coef,pc_i_P_dev_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_dev_coef,pc_i_r_dev_pval
24,240,-0.037864804488225726,0.013071204971572005,0.05099681403707406,0.00011718700635292605,-1.0540751018052752e-16,0.026285312483810948,4.74280887186201e-17,0.0019423882578776556,-0.006541126083897177,0.6692757612926281,0.14515864144629445,9.133823484560767e-22,0.0279249122096836,0.13576017072463434,-0.0026592514711396014,0.5721533568875479,0.0277422269949011,5.933750944628758e-11,2.7553072957637838e-17,0.0610044667681524,-1.0680693104040673e-17,0.023915026730375436,0.0010813934857399404,0.8200650887750564,-0.035445779183124596,5.859528736056967e-15,-0.004621707884780158,0.4257316858476896
25,240,0.030763926974259684,0.02968464650364672,0.006175541391162092,0.5790718298190201,-3.1274944506364575e-16,0.030028867548126763,-5.985743486794495e-17,0.009200394824217238,0.0450535829504807,0.001625050770484149,0.06743082852545275,7.309926441415696e-09,-0.002772128028397344,0.8528019127317646,-0.005553029859889905,0.2032477043320485,0.026657993416786124,2.820387353926103e-13,-1.0629304526404409e-16,0.017301520343076516,-1.3798366646012242e-17,0.05162849944785803,0.004059399818142382,0.3542112524076122,-0.02548119992278605,3.7166656328542646e-12,-0.013270333509627108,0.004438032448748019
26,240,0.019782633728415287,0.11092238176252658,0.0011957061559674763,0.8988224430076334,8.570379764560923e-17,0.404658256339681,3.438157252748325e-17,0.4131178413063661,0.0032851412424767497,0.7871129636923606,0.04885499451826776,7.972634606073321e-07,0.020065574753192688,0.12134297583756709,0.008786398399949828,0.0825565790795708,0.03690047918904641,1.0041025001557194e-18,7.528696529414561e-17,0.07328003506146337,2.772822089074713e-17,0.10611378630153101,0.008987118940302461,0.07086939989371746,-0.01753003548499056,1.2421603349195287e-05,-0.011563068722819017,0.028922194607270302
27,240,-0.0013688601631160922,0.9151418369020106,0.06775418343035217,5.314872770840734e-09,2.058834709485333e-17,8.920945301143763e-11,-1.3277587104225154e-17,0.0027932219386709394,-0.024204853622591442,0.07090034615815648,0.11838393158422987,8.686093967314528e-23,0.03892462278180092,0.00598414460599229,-0.0017681794111792078,0.7043121811871838,0.039575234368493244,4.0800799466672227e-19,-1.2838480301288495e-18,0.24384061239582502,6.053638476422583e-19,0.7043549206239933,-0.0030250409682610006,0.5323777747068288,-0.0315449581138918,4.3524366531682566e-14,-0.01608156759308936,0.0017832697795065059
28,240,0.017452200691694765,0.2520531689328265,0.027809365284202043,0.019880859722013682,-6.914427302044065e-19,0.805808883673576,8.585028359379117e-18,4.110291083559959e-06,0.010848530858670399,0.4770390335915614,0.07249541754911598,4.599478174429306e-09,0.0019771910485929193,0.9022799596224238,-0.0011953968474385525,0.7953086194385336,0.026116547367205773,5.301912420882025e-12,-2.0018055060206727e-18,0.019450887928057606,4.819494594973056e-19,0.38272451124753193,0.004179676596360234,0.36578317220804757,-0.029920090637925695,8.327220226163436e-15,-0.018714371993226585,0.00015725298303377407
29,240,0.028572845949520247,0.040795007046632296,0.0461608728530291,7.465736361629263e-05,1.9800540843699832e-17,3.7106730316702013e-06,-1.7621109150068707e-17,0.00045783823790469287,0.024506960533623806,0.08469542662830262,0.08383335946054452,1.9848518527810404e-12,0.006883630094744089,0.6318788505535573,-0.014987730068207156,0.001636757875811377,0.026854209557921137,4.093121931169492e-11,-2.0579585303646e-18,0.14703907888226556,4.1851882173268156e-18,0.013351015865512161,0.009567046769038006,0.04708603179002952,-0.03175128320475269,7.604827255833269e-15,-0.021047972913761155,2.196221999505984e-05
30,240,0.041163676817897385,0.0002698559954178547,0.031210184736269,0.002407462528274988,-4.9954964178762455e-16,3.6693010797111886e-09,5.311634794668474e-17,6.782028657280584e-10,0.017751569279842987,0.12019722676431582,0.10934287693889057,1.1555543768024567e-20,-0.0033865414518776463,0.7719145650049457,-0.005207137040376905,0.21066303653369364,0.022249677718471573,1.501675280350721e-08,-3.7342788138398134e-17,0.2200978404701404,2.7993673998753183e-18,0.363644028621261,0.014503882757207272,0.0007429792743108082,-0.04762137874194608,3.651091721276794e-26,-0.015675131008544355,0.0003836812436824593
31,240,0.03483520775166712,0.008701636221393047,0.010097316438622272,0.3864833945991928,1.7186121743287408e-17,2.190813768290151e-05,-6.0787360349744356e-18,0.1407293277931285,0.01625147745018935,0.2624474618499325,0.09379967946853873,2.405461090605668e-14,-0.019200339473705367,0.18264038953707146,0.009411615786039315,0.038528062246355625,0.02580951603375683,6.141482317939433e-10,9.362859631636604e-19,0.4927208697664487,3.1463080603496526e-18,0.026893386789009852,-0.0001593461866297198,0.9744489557471689,-0.031485880005860285,7.894563215994643e-14,-0.01217150783121871,0.014358253044710381
32,240,0.008865683756444481,0.5646555683506159,0.03441972181602701,0.003813997833973089,-1.0933128698015687e-16,4.515896732944927e-06,-3.510934483536385e-18,0.03686999556433045,0.02860225810197077,0.02221682494206823,0.0907753664623217,3.3217834644068096e-12,-0.010151508554379756,0.4705011059235369,0.018571078572631686,0.0007433112917726549,0.029783851332775342,1.0700347650987209e-11,1.0570575327475772e-17,0.20017711682954678,1.1524326821592617e-18,0.05242690764508418,0.0070329318349089415,0.11062625381017799,-0.03359378047467898,3.9469431558991255e-13,-0.00596029257597022,0.2310556231989968
33,240,0.013474899627405806,0.30488421155675915,-0.00357888078139328,0.7208354588995354,-4.399801373938703e-18,0.003485353940513313,8.67416624733918e-18,0.001595237838229857,0.029695782993870268,0.03840499805677076,0.05738365678231787,1.9069501072485536e-07,-0.020866117653056425,0.17445857898091033,0.0016415407127189034,0.7219510406944849,0.02397657321695315,7.818564522959696e-11,3.9290811777859945e-18,1.348617631102542e-12,2.4620407248770614e-18,0.01053290429252044,0.0028360574331030963,0.5722021176252237,-0.017863216976146807,3.4935186755303872e-06,-0.01899207045578876,0.0005069940730797717
34,240,0.02511932282912601,0.05985979892750001,-0.0024655472148584386,0.8230859513890387,-9.149485901469288e-19,0.9245146499521087,-3.531986051444373e-18,0.8238728398188526,0.012389274603560822,0.41085839123416057,0.06940276902450801,7.133358930515009e-09,-0.003995248114727313,0.7784924863410456,-0.0021893068054234573,0.6453952544321075,0.036505448080554115,1.3135481454887786e-17,4.800396700012934e-18,0.16546630794091577,1.7193415983712325e-18,0.7619800957782897,-0.0002189101502681986,0.9675721526652884,-0.02309855373346978,6.294123282553906e-08,-0.0046516371716203795,0.3602765910017105
35,240,0.011936938953904363,0.3337818938416699,0.03605871391527604,0.0005759327059416666,1.3607032043874126e-16,9.376181675039008e-08,1.858853155193858e-17,6.631344040830073e-10,-0.05263368171743908,6.873518879362357e-05,0.13306741128459454,9.414656618945702e-28,0.04844183630578747,0.0006624374929385924,-0.009816397213018668,0.05516848701241175,0.04947338311231641,7.726639653952599e-25,-1.1824822536827359e-17,0.24768484533420218,4.0952968967515305e-19,0.7315885406497158,0.002256465348152572,0.6745261389121864,-0.031448693863771165,1.1722259967422747e-11,-0.023660423938288565,6.216332215549218e-05
36,240,0.03352683731302763,0.0026954779652615616,0.016074981844246175,0.10502561783929569,-7.074151785331035e-17,4.934712979660495e-08,1.61118090367689e-17,1.2308464232779722e-05,0.029867529882713833,0.013226162248182368,0.07725509358347771,2.3112774806037827e-12,0.003647416060201275,0.7626574920537759,0.0008893552490556141,0.8345649347809175,0.020900956039116625,9.992260602395458e-08,4.736317542405321e-18,0.32760282043746736,3.886306512569628e-19,0.779669272433631,0.001954385289672359,0.6715380216125584,-0.04111266866295975,1.3664832644535257e-20,-0.005930373934963202,0.20266884745436262
37,240,-0.014635882517401614,0.2995005295084385,0.023146316908366146,0.04158033857394972,4.439889528960227e-18,0.5036285801689329,-7.938823306676679e-18,0.0005041552442127149,0.016883998265543668,0.24493170670198713,0.06678197615507689,4.989463055959623e-08,-0.01596926520088019,0.2879300324680532,-0.004916480760415658,0.31732329387714775,0.033770763054104744,1.3558435144740652e-15,-1.0359006972773684e-17,1.1493947889879442e-05,-1.6465531054513524e-18,0.03686994773685797,0.004964520148162064,0.32645137820307113,-0.032725786381276684,9.349875152648622e-14,-0.016172444290971616,0.002210579319562841
38,240,0.008965830454153242,0.4609496269002198,0.06811671732324556,3.89097001060241e-12,-3.2812807036673095e-17,7.9098889829057e-08,5.123768609322149e-17,6.68023807156459e-17,-0.015117372600054736,0.23761470368815027,0.07777659171207053,5.1589213651368086e-14,0.0484046464431335,8.395196469732987e-05,-0.004143177520999531,0.3953009972708653,0.032650666738641185,4.038247378295536e-16,-8.650518437205681e-18,0.00032583940729624244,-2.441440581488815e-18,0.2842437472894567,-0.004596713496121852,0.3698966934884932,-0.031458851015769895,3.193710638884001e-14,-0.005671817478389316,0.24298155093320106
