agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_coef,pw_i_P_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_coef,pw_i_r_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_coef,pc_i_P_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_coef,pc_i_r_pval
20,240,0.05367096293767678,8.10935138526165e-09,0.014358760282174858,0.03326391683118453,-3.1497842357029626e-18,9.38736676745953e-06,-4.2578922409548675e-18,0.030174883027022745,0.036638248012154664,0.0002670849773987681,0.00016198699491670396,0.9811462440804388,0.0297802516594149,0.0021830272793185,-3.331725055618208e-05,0.9946463742082398,0.011847131061681901,0.0015904796619235875,-4.2880930730140563e-19,0.26588148118993477,-4.593411244776351e-20,0.9660991755039363,0.024630178157619677,1.0721608384858586e-05,-0.0429450118428919,4.800411971730981e-24,-0.012834129179779058,0.016520939105726086
21,240,0.006519088731087773,0.49975825645048755,0.0224288196560304,0.002434827065684675,1.941750711521531e-17,9.199253093012371e-06,-1.845358140780543e-18,0.8027437333211951,-0.02559293754026456,0.021983156198129877,0.044676069305754754,3.044456993523373e-08,0.0005742027135584755,0.9558122157612567,-0.012315440166917407,0.005800438704646231,0.008810056341667243,0.009234830290924962,-1.0181209993851003e-17,4.6654953272954424e-07,6.207831373966383e-18,0.06784674764393349,-0.013101009488998868,0.010665328621708423,-0.03847686775230173,3.2564246505505687e-22,0.00047307965093977035,0.9207033875630648
22,240,0.004452176503365818,0.6489042529370515,0.026956869837255586,0.00014945476926624972,7.482528893562211e-17,5.903182691051382e-06,1.8434677100592883e-17,1.7447774937596515e-07,0.028612777925592133,0.003950089551496703,0.03283396960698523,8.098692820841739e-06,-0.009302415072200958,0.3662991034436115,0.0009643464295157819,0.8315232909397051,0.01015099076346515,0.001961623910799607,-2.7041783130629802e-17,0.0003691081065822589,-6.247987717753622e-18,0.00010840796087682698,0.02192520504431665,2.68591478931026e-06,-0.03187231567998993,1.7556502216734827e-18,-0.02807206005389394,1.3201378708817477e-08
23,240,-0.03515523876777539,4.8114720026339927e-08,0.03308328122836697,1.9947167997344458e-13,-1.6406698692579216e-16,5.537205899011913e-23,-3.453140212297696e-17,4.145103602590374e-24,-0.0073324321891997815,0.2241509289050236,0.08436152301078309,2.2896831756617894e-45,-0.014505682103479228,0.025572334940982905,-0.007610460304719748,0.058514661562188285,0.017678353894605002,5.088806510392577e-10,7.791958538563605e-17,2.4020328892981668e-14,2.537516528911804e-17,2.0196171194842938e-29,-0.01080829279768061,0.00560517604861981,-0.058593161660652954,4.478642216921085e-50,-0.0005096035494480556,0.9023290883285968
24,240,-0.01847088789175191,0.0717191279389249,0.04153664884426428,1.2210530674101528e-07,-1.2473008986919682e-16,0.08110996629071004,-5.590119195479559e-18,5.912507785954419e-33,-0.010104427227019885,0.3784545557905473,0.11166723940775664,2.4199729703380394e-30,0.04343522935472264,0.00047410972046340525,-0.006300648738080877,0.1460826351097845,0.011125544293500406,0.0006526793088997332,-4.6436014956171996e-17,0.12459704644797115,2.5110082582957863e-18,7.755451767641887e-36,-0.00035921870683446305,0.9409656644532141,-0.05249377214047217,3.093146066876295e-35,0.004990958292761126,0.33672991621772497
25,240,0.0259408447063319,0.0024838876911099377,0.016859942471130478,0.009324555553483443,-3.0069614758991027e-19,0.6679428720972465,1.3687247412856528e-17,0.0025136373556954596,0.046408302258384604,1.3346695545424011e-06,0.038491389966393036,2.0336743463964235e-08,0.0026842030204469068,0.7658598964842501,-0.0090446781786865,0.034706603181952136,0.00547841692908679,0.09105053802428566,7.143280655566762e-19,0.04323470714066615,8.542325609072594e-19,0.7044680784352608,0.005539787364027513,0.23912955331537386,-0.04194719308860967,3.622251597072951e-28,-0.015777593609332778,0.000575466921042667
26,240,0.013631205064450947,0.059285597714249384,0.012210764112463142,0.019722605886308503,-1.6263937445114116e-17,0.36826873210161626,-5.8276478317119435e-18,0.2083000758156725,0.006514887810379856,0.3938611196339612,0.03311499810817899,2.996620705535964e-09,0.0025685442693164726,0.7313719305276843,0.010520957008390236,0.04877860383988332,0.0038456993170964647,0.31775014735597057,-3.9544984566782643e-17,0.003308471326767355,-7.15439705089664e-18,0.037022380416831945,0.013639133967126325,0.016214427042797026,-0.03927722250506653,1.5032962137662417e-19,-0.01754271789425235,0.0016786652968771327
27,240,0.0050635171471982345,0.5657431456669906,0.033205068580753755,8.381925272667638e-07,2.8775710066690197e-16,3.416573839020828e-21,-3.14542810747795e-16,5.490447374803899e-21,-0.006534660510924235,0.5051723505328645,0.0724696591947548,3.543641494550813e-21,0.014557082578613382,0.12302222581605277,-0.007104660961073947,0.16448675680637348,0.01126354627051786,0.0033147916368414347,-1.1473839849800825e-16,8.50834373397229e-12,1.2151515078455736e-16,4.170201995856727e-11,-0.008874929088860721,0.11862575693709138,-0.05112157422963091,1.6022035335221695e-28,-0.020104087282930116,0.0002750554438911709
28,240,0.017678036605360405,0.06769315328621017,0.023884110131853563,0.0007360569048759953,7.833615695156027e-19,0.605471411477545,-1.4142686125938564e-18,0.2806658722070144,0.006739742131843761,0.5320179753218481,0.031501837703714376,3.161987662717329e-05,-0.0024350618556711213,0.8102602288363419,-0.0024551795561846253,0.5856947709162208,0.012322741370735035,0.00019964653816104794,-2.8038129744200144e-18,9.793321943663633e-05,2.365261543419847e-18,0.00014000684117842428,0.0032981341551693508,0.512615990794784,-0.04385056901809878,2.6989242225314312e-28,-0.0218270160400598,6.532358052058674e-06
29,240,0.009963324852665757,0.2604227630456764,0.03201533055493597,3.236303784140498e-06,1.5245205290481094e-17,7.09919251567257e-07,2.948803243807228e-17,5.7113283423006524e-08,0.009885227295612276,0.3239993350738739,0.044014627876384105,1.1929637566785526e-09,-0.006752503567058358,0.4721922186391201,-0.023967168003259716,1.6730372291789292e-07,0.006440310256608689,0.057630638698103455,-1.5784746529102347e-18,0.29511517375598395,-9.506004767154075e-20,0.9713522147115564,0.006825858454950737,0.17613698502804556,-0.045745707067494784,9.351813758778518e-30,-0.019636961489410402,4.4109629214377345e-05
