agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_coef,pw_i_P_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_coef,pw_i_r_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_coef,pc_i_P_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_coef,pc_i_r_pval
27,240,0.062470003258442715,0.45576392356559947,0.026023278877756243,0.3214780138512513,2.1120453758698458e-17,0.3855062499044599,1.6859122739093296e-18,0.8763684236444371,-0.09176392245352782,0.2543184905089294,0.038303306640200235,0.1573075844017439,-0.0005218389526544971,0.9885890236191122,0.05037363142520311,0.00021713036751967897,-0.011566676372755155,0.006348862742101695,1.6990608998021404e-17,1.9334299470933896e-05,-1.0345001879222398e-17,9.207893665119337e-09,-0.05360508852713566,4.414250829559056e-05,-0.0410151454784151,3.106417413711029e-18,-0.02514535086716401,2.4819189090040884e-05
28,240,0.09771172260732303,0.3645852017208605,-0.03656381225131035,0.187700565916804,-6.395283889843017e-17,0.46030266583498414,-5.70176085710209e-19,0.6285750081567295,-0.053405361618174704,0.612809958226914,0.006666283978386546,0.8163486196848855,-0.036467470623301704,0.3279205053580053,-0.019573357306729284,0.18374306432417728,-0.009317487215356662,0.014347981735454955,1.1125497550651708e-17,0.346840800376234,-7.886738133939164e-19,1.7191642352996321e-06,0.020262169574854903,0.16027291986612122,-0.033725764529057706,1.0306405892561034e-15,-0.01840195750531821,0.00035518199136662295
29,240,-0.045538696308657076,0.49503788887882794,-0.003977628071173172,0.8851003904102939,1.0660959467883904e-17,0.7009958667008751,7.140419217968944e-17,0.6374137658492474,0.09517905063135916,0.1859699485944723,-0.03358678691817121,0.24208193735204206,-0.07732486268656447,0.03892568849144085,0.054116057671577865,3.375446388717947e-08,-0.014168911812287893,0.00035522645516153866,3.242483132310308e-17,1.3617117243609146e-14,1.7308776464689568e-16,4.2759389895236055e-14,-0.028913468362643392,0.004995113144869171,-0.03154842990436439,2.825285470445533e-13,-0.012491213937790171,0.019122227136825768
30,240,-0.033759239221104125,0.6664714730717647,-0.06300468102101844,0.019979778272298254,6.8149031659105346e-18,0.09508527769098951,8.837091411484572e-18,0.15788118451391947,0.05955154444024438,0.4474492452645321,0.038650772481157045,0.15771444436828266,-0.017239682134397076,0.6261800690832169,0.004280628067092347,0.6922162763874105,-0.009194026445782502,0.013986133028144304,-1.0103615909018137e-18,0.07319335242166224,-4.8725640735491734e-18,4.450300952031469e-08,0.015704350826645196,0.14742464548044984,-0.05412085149417921,5.2430042187926495e-34,-0.014135010691327986,0.004129110957474481
31,240,-0.0308428884123938,0.8125032514328553,0.006708160458411271,0.8119141759846714,-6.6056948183191455e-18,0.833422884485379,1.9137038617633434e-18,0.8233699192042523,0.03836058124725575,0.7796009163257382,0.04352076563913427,0.15913835643846833,-0.0269212256694771,0.4986394230525102,-0.09438714792407375,6.953561141736357e-08,-0.004070163870996131,0.26900109620577134,2.981866872851403e-17,4.871886334080056e-12,-2.3273579855033147e-18,0.03831721324238842,0.08626923298212337,2.4718882077808133e-06,-0.03008715466486095,1.4425571855438835e-12,-0.026296903910012263,7.922543019778658e-07
32,240,0.07691268972228389,0.29763876532736117,0.02968923426908851,0.26373587929026654,1.117964588228371e-17,0.3460676470667433,-1.4167247147450606e-18,0.5696954736191171,-0.057363726537454675,0.42241529167645075,-0.016764480007797157,0.6085178510916899,0.01820742385820691,0.5949618293419342,-0.0464762262367695,1.681741909998625e-05,-0.003929548679599793,0.30260900003555524,-1.165444290490891e-17,6.17623921247392e-11,-3.3784661201248257e-18,3.449015018928784e-18,0.042016278049085906,5.6711696821154346e-05,-0.04261348126315269,4.5360517064302746e-17,-0.020021272005057676,6.20497249204684e-05
33,240,-0.03193807803713081,0.6531044186230732,-0.018972059462416813,0.476575935078988,-1.3592919340471377e-17,0.10008229424645708,-1.563260079362478e-17,0.10474267416841622,0.07771326778064326,0.31539794323505016,0.018364749122411688,0.5214657405795777,-0.05280312710886218,0.1674745221249993,0.009692194682107101,0.3399990906467262,-0.009322107356210186,0.014914488090541692,2.9366340228776567e-19,0.8030303364962486,-6.775598180290797e-19,0.6216410730311033,-0.011299515560034525,0.30681571833249005,-0.01602462484018772,0.00011533036962664857,-0.018979236827999017,0.0005888475776655165
34,240,-0.01813658533100274,0.7816803793035056,-0.00879445068387616,0.7330851242959251,1.4131049703054824e-17,0.698051347905012,1.842672332648221e-18,0.7760689214814713,0.03642551069475882,0.5955658225741738,0.01916887192274561,0.4867631764222726,-0.010868294159829248,0.7500338292180473,-0.016307220908724926,0.1291594100331312,-0.01590196967449492,0.00020784593765565506,2.925283509901918e-17,1.721934768410769e-06,3.9383516751918195e-18,0.00025382543282128993,0.012204002951447405,0.2781354315812745,-0.03235817486455025,9.322127432167038e-12,0.00026384952402447315,0.9623388727778108
35,240,0.016786344147283947,0.8121751185477796,-0.02302697573637657,0.3915846647651531,1.875585102179289e-17,0.7693285719908227,-2.0602639184682533e-18,0.16157383746941206,-0.03360633596812186,0.6661281184330077,0.026331317943225994,0.3546223052322186,-0.014464729295484875,0.7005896465356551,0.03657648625432941,0.003308659232305312,-0.01716196750936736,0.00030834031561990623,1.0005277563892373e-17,0.37076003456434525,1.396929616063406e-18,1.2636598893485498e-07,-0.03384809512824289,0.01341526576985293,-0.050152126160377196,3.4646434082660885e-20,-0.02108070818700644,0.0014996049427507584
36,240,0.022826950768625575,0.7806716550076684,0.016313719960738778,0.5381416219696644,1.4271218896638147e-17,0.8382955369226239,-4.3363464846999104e-18,0.7867104052398557,0.027943713509466943,0.7537178207388118,0.0034630950929340452,0.9016777787202352,-0.03246944263854816,0.3619330954085628,-0.0077591075242056644,0.4996823392979607,-0.010923110027077895,0.00355257525736709,1.2221709233809017e-17,0.21317436207071322,1.9425817706134894e-18,0.3874751949025691,0.0049326232475539675,0.6927673957351748,-0.045199629010649424,1.3104850627561015e-24,-0.0011518631343050566,0.8173589116345861
